y,ds
228,2023-04-10 06:31:14
360,2023-04-10 06:36:14
382,2023-04-10 06:41:14
389,2023-04-10 06:46:14
398,2023-04-10 06:51:14
397,2023-04-10 06:56:14
395,2023-04-10 07:01:14
395,2023-04-10 07:06:14
395,2023-04-10 07:11:14
397,2023-04-10 07:16:14
398,2023-04-10 07:21:14
397,2023-04-10 07:26:14
398,2023-04-10 07:31:14
397,2023-04-10 07:36:14
396,2023-04-10 07:41:14
394,2023-04-10 07:46:14
395,2023-04-10 07:51:14
394,2023-04-10 07:56:14
392,2023-04-10 08:01:14
391,2023-04-10 08:06:14
390,2023-04-10 08:11:14
393,2023-04-10 08:16:14
392,2023-04-10 08:21:14
397,2023-04-10 08:26:14
399,2023-04-10 08:31:14
402,2023-04-10 08:36:14
401,2023-04-10 08:41:14
399,2023-04-10 08:46:14
402,2023-04-10 08:51:14
404,2023-04-10 08:56:14
403,2023-04-10 09:01:14
402,2023-04-10 09:06:14
405,2023-04-10 09:11:14
404,2023-04-10 09:16:14
401,2023-04-10 09:21:14
405,2023-04-10 09:26:14
404,2023-04-10 09:31:14
404,2023-04-10 09:36:14
403,2023-04-10 09:41:14
401,2023-04-10 09:46:14
404,2023-04-10 09:51:14
406,2023-04-10 09:56:14
403,2023-04-10 10:01:14
406,2023-04-10 10:06:14
402,2023-04-10 10:11:14
402,2023-04-10 10:16:14
403,2023-04-10 10:21:14
404,2023-04-10 10:26:14
404,2023-04-10 10:31:14
400,2023-04-10 10:36:14
405,2023-04-10 10:41:14
399,2023-04-10 10:46:14
398,2023-04-10 10:51:14
402,2023-04-10 10:56:14
401,2023-04-10 11:01:14
400,2023-04-10 11:06:14
401,2023-04-10 11:11:14
399,2023-04-10 11:16:14
401,2023-04-10 11:21:14
401,2023-04-10 11:26:14
399,2023-04-10 11:31:15
398,2023-04-10 11:36:14
402,2023-04-10 11:41:14
401,2023-04-10 11:46:14
401,2023-04-10 11:51:14
401,2023-04-10 11:56:14
403,2023-04-10 12:01:14
