y,ds
33.9,2023-04-10 06:54:53
32.0,2023-04-10 06:59:53
32.0,2023-04-10 07:04:53
31.8,2023-04-10 07:09:52
31.9,2023-04-10 07:14:52
31.8,2023-04-10 07:19:53
31.8,2023-04-10 07:24:53
31.9,2023-04-10 07:29:53
31.8,2023-04-10 07:34:52
32.0,2023-04-10 07:39:53
32.2,2023-04-10 07:44:53
32.5,2023-04-10 07:49:53
32.6,2023-04-10 07:54:52
32.9,2023-04-10 07:59:52
33.3,2023-04-10 08:04:53
33.7,2023-04-10 08:09:53
34.1,2023-04-10 08:14:53
34.4,2023-04-10 08:19:52
34.7,2023-04-10 08:24:53
34.9,2023-04-10 08:29:53
35.2,2023-04-10 08:34:53
35.4,2023-04-10 08:39:53
35.7,2023-04-10 08:44:52
36.2,2023-04-10 08:49:52
36.5,2023-04-10 08:54:53
37.1,2023-04-10 08:59:53
37.4,2023-04-10 09:04:53
37.7,2023-04-10 09:09:52
37.9,2023-04-10 09:14:53
38.3,2023-04-10 09:19:53
38.5,2023-04-10 09:24:53
38.6,2023-04-10 09:29:52
39.0,2023-04-10 09:34:53
39.4,2023-04-10 09:39:53
39.6,2023-04-10 09:44:53
39.8,2023-04-10 09:49:53
40.1,2023-04-10 09:54:52
40.4,2023-04-10 09:59:53
40.7,2023-04-10 10:04:53
41.0,2023-04-10 10:09:53
41.2,2023-04-10 10:14:53
41.3,2023-04-10 10:19:52
41.5,2023-04-10 10:24:53
41.6,2023-04-10 10:29:53
41.7,2023-04-10 10:34:53
41.9,2023-04-10 10:39:53
42.1,2023-04-10 10:44:53
42.3,2023-04-10 10:49:53
42.5,2023-04-10 10:54:53
42.7,2023-04-10 10:59:53
42.8,2023-04-10 11:04:53
42.9,2023-04-10 11:09:53
43.0,2023-04-10 11:14:53
43.1,2023-04-10 11:19:53
43.2,2023-04-10 11:24:53
43.2,2023-04-10 11:29:53
43.4,2023-04-10 11:34:53
43.4,2023-04-10 11:39:53
43.4,2023-04-10 11:44:53
43.5,2023-04-10 11:49:53
43.6,2023-04-10 11:54:53
43.5,2023-04-10 11:59:53
43.7,2023-04-10 12:04:53
43.8,2023-04-10 12:09:53
43.9,2023-04-10 12:14:53
43.9,2023-04-10 12:19:53
43.9,2023-04-10 12:24:53
43.9,2023-04-10 12:29:53
44.0,2023-04-10 12:34:53
44.1,2023-04-10 12:39:53
44.0,2023-04-10 12:44:53
44.1,2023-04-10 12:49:53
44.0,2023-04-10 12:54:53
44.1,2023-04-10 12:59:53
44.1,2023-04-10 13:04:53
44.1,2023-04-10 13:09:53
44.1,2023-04-10 13:14:53
44.1,2023-04-10 13:19:53
44.2,2023-04-10 13:24:53
44.1,2023-04-10 13:29:53
44.0,2023-04-10 13:34:53
44.1,2023-04-10 13:39:53
44.0,2023-04-10 13:44:53
43.9,2023-04-10 13:49:53
44.0,2023-04-10 13:54:53
43.9,2023-04-10 13:59:53
44.1,2023-04-10 14:04:53
44.1,2023-04-10 14:09:53
44.2,2023-04-10 14:14:53
44.2,2023-04-10 14:19:53
44.2,2023-04-10 14:24:53
44.2,2023-04-10 14:29:53
44.2,2023-04-10 14:34:53
44.2,2023-04-10 14:39:53
44.3,2023-04-10 14:44:53
44.3,2023-04-10 14:49:53
44.3,2023-04-10 14:54:53
44.3,2023-04-10 14:59:53
44.3,2023-04-10 15:04:53
44.4,2023-04-10 15:09:53
44.3,2023-04-10 15:14:53
44.4,2023-04-10 15:19:53
44.4,2023-04-10 15:24:53
44.5,2023-04-10 15:29:53
44.5,2023-04-10 15:34:53
44.5,2023-04-10 15:39:53
44.6,2023-04-10 15:44:53
44.6,2023-04-10 15:49:53
44.6,2023-04-10 15:54:53
44.6,2023-04-10 15:59:53
44.6,2023-04-10 16:04:53
44.6,2023-04-10 16:09:53
44.6,2023-04-10 16:14:53
44.6,2023-04-10 16:19:53
44.7,2023-04-10 16:24:53
44.7,2023-04-10 16:29:53
44.7,2023-04-10 16:34:53
44.7,2023-04-10 16:39:53
44.7,2023-04-10 16:44:53
44.7,2023-04-10 16:49:53
44.7,2023-04-10 16:54:53
44.7,2023-04-10 16:59:53
44.8,2023-04-10 17:04:53
44.7,2023-04-10 17:09:53
44.8,2023-04-10 17:14:53
44.8,2023-04-10 17:19:53
44.8,2023-04-10 17:24:53
44.9,2023-04-10 17:29:53
44.9,2023-04-10 17:34:53
44.9,2023-04-10 17:39:53
44.9,2023-04-10 17:44:53
45.0,2023-04-10 17:49:53
45.1,2023-04-10 17:54:53
45.0,2023-04-10 17:59:53
45.1,2023-04-10 18:04:53
45.1,2023-04-10 18:09:53
45.1,2023-04-10 18:14:53
45.1,2023-04-10 18:19:53
45.2,2023-04-10 18:24:53
45.2,2023-04-10 18:29:53
45.3,2023-04-10 18:34:53
45.1,2023-04-10 18:39:53
45.3,2023-04-10 18:44:53
45.3,2023-04-10 18:49:53
45.3,2023-04-10 18:54:53
45.3,2023-04-10 18:59:53
45.3,2023-04-10 19:04:53
45.5,2023-04-10 19:09:53
45.3,2023-04-10 19:14:53
45.4,2023-04-10 19:19:53
45.5,2023-04-10 19:24:53
45.5,2023-04-10 19:29:53
45.4,2023-04-10 19:34:53
45.4,2023-04-10 19:39:53
45.5,2023-04-10 19:44:53
45.4,2023-04-10 19:49:53
45.6,2023-04-10 19:54:53
45.6,2023-04-10 19:59:53
45.6,2023-04-10 20:04:53
45.5,2023-04-10 20:09:53
45.7,2023-04-10 20:14:53
45.7,2023-04-10 20:19:53
45.7,2023-04-10 20:24:53
45.7,2023-04-10 20:29:53
45.7,2023-04-10 20:34:53
45.9,2023-04-10 20:39:53
45.8,2023-04-10 20:44:53
45.9,2023-04-10 20:49:53
45.8,2023-04-10 20:54:53
45.9,2023-04-10 20:59:53
45.9,2023-04-10 21:04:53
45.8,2023-04-10 21:09:54
45.8,2023-04-10 21:14:53
45.7,2023-04-10 21:19:53
45.8,2023-04-10 21:24:53
45.8,2023-04-10 21:29:53
45.6,2023-04-10 21:34:52
45.7,2023-04-10 21:39:53
45.7,2023-04-10 21:44:52
45.6,2023-04-10 21:49:52
45.6,2023-04-10 21:54:52
45.6,2023-04-10 21:59:53
45.5,2023-04-10 22:04:52
45.4,2023-04-10 22:09:52
45.4,2023-04-10 22:14:52
45.4,2023-04-10 22:19:53
45.4,2023-04-10 22:24:53
45.3,2023-04-10 22:29:53
45.3,2023-04-10 22:34:52
45.2,2023-04-10 22:39:52
45.2,2023-04-10 22:44:52
45.3,2023-04-10 22:49:52
45.2,2023-04-10 22:54:52
45.3,2023-04-10 22:59:53
45.1,2023-04-10 23:04:53
45.1,2023-04-10 23:09:52
45.1,2023-04-10 23:14:52
45.0,2023-04-10 23:19:52
44.8,2023-04-10 23:24:52
44.7,2023-04-10 23:29:52
44.7,2023-04-10 23:34:52
44.5,2023-04-10 23:39:52
44.6,2023-04-10 23:44:52
44.7,2023-04-10 23:49:53
44.7,2023-04-10 23:54:53
45.0,2023-04-10 23:59:53
45.1,2023-04-11 00:04:52
44.9,2023-04-11 00:09:52
44.9,2023-04-11 00:14:52
44.9,2023-04-11 00:19:52
44.6,2023-04-11 00:24:52
44.6,2023-04-11 00:29:53
44.5,2023-04-11 00:34:53
44.2,2023-04-11 00:39:53
44.0,2023-04-11 00:44:53
43.8,2023-04-11 00:49:53
43.6,2023-04-11 00:54:53
43.3,2023-04-11 00:59:52
43.2,2023-04-11 01:04:53
43.0,2023-04-11 01:09:52
42.5,2023-04-11 01:14:53
42.3,2023-04-11 01:19:52
42.0,2023-04-11 01:24:52
41.6,2023-04-11 01:29:53
41.5,2023-04-11 01:34:52
41.8,2023-04-11 01:39:53
41.5,2023-04-11 01:44:53
41.8,2023-04-11 01:49:53
41.3,2023-04-11 01:54:53
40.4,2023-04-11 01:59:53
40.5,2023-04-11 02:04:53
40.0,2023-04-11 02:09:53
40.0,2023-04-11 02:14:53
40.1,2023-04-11 02:19:52
40.1,2023-04-11 02:24:53
40.4,2023-04-11 02:29:53
39.8,2023-04-11 02:34:53
39.8,2023-04-11 02:39:53
40.2,2023-04-11 02:44:53
40.2,2023-04-11 02:49:53
39.9,2023-04-11 02:54:53
40.3,2023-04-11 02:59:52
40.4,2023-04-11 03:04:53
40.2,2023-04-11 03:09:52
40.2,2023-04-11 03:14:53
39.8,2023-04-11 03:19:53
39.4,2023-04-11 03:24:53
39.5,2023-04-11 03:29:53
39.1,2023-04-11 03:34:53
39.0,2023-04-11 03:39:52
37.5,2023-04-11 03:44:52
37.4,2023-04-11 03:49:53
37.5,2023-04-11 03:54:53
37.6,2023-04-11 03:59:53
38.0,2023-04-11 04:04:53
38.8,2023-04-11 04:09:53
37.8,2023-04-11 04:14:52
37.6,2023-04-11 04:19:53
37.8,2023-04-11 04:24:53
37.5,2023-04-11 04:29:53
37.2,2023-04-11 04:34:53
37.3,2023-04-11 04:39:52
37.2,2023-04-11 04:44:53
37.2,2023-04-11 04:49:53
37.5,2023-04-11 04:54:53
37.0,2023-04-11 04:59:52
37.2,2023-04-11 05:04:53
37.6,2023-04-11 05:09:53
37.4,2023-04-11 05:14:53
37.2,2023-04-11 05:19:53
37.1,2023-04-11 05:24:53
37.2,2023-04-11 05:29:53
38.2,2023-04-11 05:34:52
37.5,2023-04-11 05:39:53
38.0,2023-04-11 05:44:53
38.5,2023-04-11 05:49:53
38.9,2023-04-11 05:54:53
38.6,2023-04-11 05:59:53
38.9,2023-04-11 06:04:53
39.2,2023-04-11 06:09:53
39.7,2023-04-11 06:14:53
39.9,2023-04-11 06:19:53
40.5,2023-04-11 06:24:53
40.9,2023-04-11 06:29:53
41.6,2023-04-11 06:34:52
41.1,2023-04-11 06:39:53
41.5,2023-04-11 06:44:53
41.2,2023-04-11 06:49:52
41.4,2023-04-11 06:54:53
41.9,2023-04-11 06:59:53
42.1,2023-04-11 07:04:53
42.4,2023-04-11 07:09:53
42.8,2023-04-11 07:14:53
43.0,2023-04-11 07:19:53
43.2,2023-04-11 07:24:52
43.7,2023-04-11 07:29:53
44.2,2023-04-11 07:34:53
44.3,2023-04-11 07:39:53
44.2,2023-04-11 07:44:53
44.3,2023-04-11 07:49:53
44.4,2023-04-11 07:54:53
